# FF7 Virtual Address Mapping for HEXT Patching
# Generated: 2026-01-02 20:49:47 JST
# Session: 93c10c47-4dd6-41a6-aa90-73c6b0def3b1
#
# Virtual Address Calculation:
# VA = (FileOffset - 0x3B8A00) + 0x3BA000 + 0x400000
#
# Format: INDEX | FILE_OFFSET | VIRTUAL_ADDRESS | LENGTH | TYPE
# ================================================================================

384 | 0x0051F6AC | 0x00920CAC |  20 | DEF
385 | 0x0051F6D4 | 0x00920CD4 |  20 | DEF
386 | 0x0051F6E8 | 0x00920CE8 |  20 | DEF
387 | 0x0051F6FC | 0x00920CFC |  20 | DEF
388 | 0x0051F710 | 0x00920D10 |  20 | DEF
389 | 0x0051F724 | 0x00920D24 |  20 | DEF
390 | 0x0051F738 | 0x00920D38 |  20 | DEF
391 | 0x0051F74C | 0x00920D4C |  20 | DEF
392 | 0x0051F760 | 0x00920D60 |  20 | DEF
393 | 0x0051F774 | 0x00920D74 |  20 | DEF
394 | 0x0051F788 | 0x00920D88 |  20 | DEF
395 | 0x0051F79C | 0x00920D9C |  20 | DEF
396 | 0x0051F7B0 | 0x00920DB0 |  20 | DEF
397 | 0x0051F7C4 | 0x00920DC4 |  20 | DEF
398 | 0x0051F7D8 | 0x00920DD8 |  20 | DEF
399 | 0x0051F7EC | 0x00920DEC |  20 | DEF
400 | 0x0051F800 | 0x00920E00 |  20 | DEF
401 | 0x0051F814 | 0x00920E14 |  20 | DEF
402 | 0x0051F828 | 0x00920E28 |  20 | DEF
403 | 0x0051F83C | 0x00920E3C |  20 | DEF
404 | 0x0051F850 | 0x00920E50 |  20 | DEF
405 | 0x0051F864 | 0x00920E64 |  20 | DEF
406 | 0x0051F878 | 0x00920E78 |  20 | DEF
407 | 0x0051F88C | 0x00920E8C |  20 | DEF
408 | 0x0051F8A0 | 0x00920EA0 |  20 | DEF
409 | 0x0051F9E8 | 0x00920FE8 |  20 | DEF
410 | 0x0051F9FC | 0x00920FFC |  20 | DEF
411 | 0x0051FA10 | 0x00921010 |  20 | DEF
412 | 0x0051FA24 | 0x00921024 |  20 | DEF
413 | 0x0051FA38 | 0x00921038 |  20 | DEF
414 | 0x0051FA4C | 0x0092104C |  20 | DEF
415 | 0x0051FA60 | 0x00921060 |  20 | DEF
416 | 0x0051FA74 | 0x00921074 |  20 | DEF
417 | 0x0051FA9C | 0x0092109C |  20 | DEF
418 | 0x0051FAB0 | 0x009210B0 |  20 | DEF
419 | 0x0051FAC4 | 0x009210C4 |  20 | DEF
420 | 0x0051FAD8 | 0x009210D8 |  20 | DEF
421 | 0x0051FAEC | 0x009210EC |  20 | DEF
422 | 0x0051FB68 | 0x00921168 |  12 | DEF
423 | 0x0051FB74 | 0x00921174 |  12 | DEF
424 | 0x0051FB80 | 0x00921180 |  12 | DEF
425 | 0x0051FB8C | 0x0092118C |  12 | DEF
426 | 0x0051FB98 | 0x00921198 |  12 | DEF
427 | 0x0051FBA4 | 0x009211A4 |  12 | DEF
428 | 0x0051FBB0 | 0x009211B0 |  12 | DEF
429 | 0x0051FBBC | 0x009211BC |  12 | DEF
430 | 0x0051FBC8 | 0x009211C8 |  12 | DEF
431 | 0x0051FBD4 | 0x009211D4 |  12 | DEF
432 | 0x0051FBE0 | 0x009211E0 |  12 | DEF
433 | 0x0051FBF0 | 0x009211F0 |  34 | DEF
