Address (Hex),Address (Dec),Primary Purpose,Categories,Min Value,Max Value,Occurrences,Example Values
72165E,7476830,save/load game number X-Axis,"PositionX, SaveLoadMenu",1,127,1,7F 01
7216BE,7476926,load select alt text Y-Axis,"PositionY, SaveLoadMenu, Text",10,10,1,0A
7216C0,7476928,load select alt text X-Axis,"PositionX, SaveLoadMenu, Text",11,11,1,0B
7217C5,7477189,"below is to refresh font spacing at new game screen, because of way 7h processes hext","Spacing, Text",0,233,4,E9 36 28 1F 00 90 90 90 90; E9 36 28 1F 00 90 90 90 90; E9 36 28 1F 00 90 90 90 90
7217D1,7477201,new/continue cursor Y-Axis,"Cursor, PositionY",246,246,1,F6
7217DC,7477212,new/continue cursor X-Axis,"Cursor, PositionX",43,43,1,2B
767DCF,7765455,Map positioning X-Axis,"PositionX, Uncategorized",1,200,6,48 02; 1E 02; C8 01
767DD3,7765459,Map positioning Y-Axis,PositionY,1,74,4,4A 01; 4A 01; 38 01
768FEB,7770091,world map box X / Width / Height,"Box, Height, Width, WorldMap",0,232,2,E8 4B 2C 2E 00 90 90; E8 4B A9 1A 00 90 90
769682,7771778,world map cursor X-Axis,"Cursor, PositionX, WorldMap",0,11,1,0B 00
76968A,7771786,world map cursor spacing Y-Axis,"Cursor, PositionY, Spacing, WorldMap",12,192,1,6B C0 0C 83
76968F,7771791,world map cursor Y-Axis,"Cursor, PositionY, WorldMap",5,5,1,05
7B7CF8,8092920,Set menu font scaling value to be 2.0 via value,Text,0,64,1,00 00 00 40
91391E,9517342,allied name X-Axis,"Avatar, PositionX",0,255,23,6A; B4; 4F
91392D,9517357,selected name X-Axis,"Avatar, PositionX",0,255,23,6A; B4; 4F
913A6F,9517679,weapon/item shop - prices Y-Axis,"ItemMenu, PositionY, ShopMenu",4,4,1,04
913A76,9517686,weapon/item shop - text Y-Axis,"ItemMenu, PositionY, ShopMenu, Text",255,255,1,FF
913A83,9517699,materia shop - text Y-Axis,"MateriaMenu, PositionY, ShopMenu, Text",255,255,1,FF
913A8F,9517711,materia shop - price Y-Axis,"MateriaMenu, PositionY, ShopMenu",4,4,1,04
913D1D,9518365,Date header X-Axis,PositionX,13,13,1,0D
913FAE,9519022,icon conditinal,Icon,1,1,1,01
914196,9519510,Ä+ITEM Á+ITEM Ç+ITEM É+ITEM,"Icon, ItemMenu, Spacing",0,12,9,00; 0C; 07 07 06 05
9141A6,9519526,Ñ+ITEM Ö+ITEM Ü+ITEM á+ITEM,ItemMenu,5,8,3,06 06 06 05; 07 08 07 06; 06 07 06 05
9141B6,9519542,à+ITEM â ä ã,ItemMenu,5,6,3,05 05 05 05; 06 06 06 06; 05 05 05 05
