index,func_ptr,func_rva,dispatch_key,key_hex,ffnx_hook_name
418,0x7ff628e5b890,0xeb890,4315279,0x41d88f,
419,0x7ff628e5c150,0xec150,4315681,0x41da21,
420,0x7ff628e5ca10,0xeca10,4317674,0x41e1ea,
421,0x7ff628e5f050,0xef050,4317782,0x41e256,
422,0x7ff628e5f290,0xef290,4317832,0x41e288,
423,0x7ff628e5f410,0xef410,4318888,0x41e6a8,
424,0x7ff628e60cd0,0xf0cd0,4320928,0x41eea0,
425,0x7ff628e62f90,0xf2f90,4321038,0x41ef0e,
426,0x7ff628e63230,0xf3230,4321161,0x41ef89,
427,0x7ff628e636e0,0xf36e0,4321486,0x41f0ce,
428,0x7ff628e63dc0,0xf3dc0,4321552,0x41f110,
429,0x7ff628e63fa0,0xf3fa0,4321593,0x41f139,
430,0x7ff628e640d0,0xf40d0,4321731,0x41f1c3,
431,0x7ff628e64430,0xf4430,4321852,0x41f23c,
432,0x7ff628e646e0,0xf46e0,4321961,0x41f2a9,
433,0x7ff628e64980,0xf4980,4322090,0x41f32a,
434,0x7ff628e64c30,0xf4c30,4322204,0x41f39c,
435,0x7ff628e64ee0,0xf4ee0,4322544,0x41f4f0,
436,0x7ff628e655c0,0xf55c0,4322613,0x41f535,
437,0x7ff628e657a0,0xf57a0,4322654,0x41f55e,
438,0x7ff628e658d0,0xf58d0,4322805,0x41f5f5,
439,0x7ff628e65c30,0xf5c30,4322936,0x41f678,
440,0x7ff628e65f10,0xf5f10,4323045,0x41f6e5,
441,0x7ff628e661b0,0xf61b0,4323174,0x41f766,
442,0x7ff628e66460,0xf6460,4323288,0x41f7d8,
443,0x7ff628e66710,0xf6710,4323742,0x41f99e,
